ts_utc,source,ccy,buy_median,sell_median,mid,fx_mid_per_usd,basis_bps,n_ads,source_ok,error
2026-09-02T16:05:32.668667+00:00,binance_p2p,GHS,,,,11.266187,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T16:05:32.668667+00:00,binance_p2p,BOB,12.3,12.26,12.28,11.879488,337.15,20,True,
2026-09-02T16:05:32.668667+00:00,binance_p2p,LBP,89550.0,88552.82,89051.41,89500.0,-50.12,20,True,
2026-09-02T16:05:32.668667+00:00,binance_p2p,ETB,,,,161.438389,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T17:05:30.121557+00:00,binance_p2p,NGN,,,,1332.607355,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T17:05:30.121557+00:00,binance_p2p,EGP,51.435,51.565,51.5,50.924246,113.06,20,True,
2026-09-02T17:05:30.121557+00:00,binance_p2p,PKR,285.915,285.31,285.6125,277.866264,278.78,20,True,
2026-09-02T17:05:30.121557+00:00,binance_p2p,BDT,127.41,127.215,127.3125,122.692712,376.53,20,True,
2026-09-02T17:05:30.121557+00:00,binance_p2p,VND,25805.0,25752.5,25778.75,26007.437228,-87.93,20,True,
2026-09-02T17:05:30.121557+00:00,binance_p2p,KES,129.79,129.42,129.605,129.481429,9.54,20,True,
2026-09-02T17:05:30.121557+00:00,binance_p2p,GHS,,,,11.266187,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T17:05:30.121557+00:00,binance_p2p,BOB,12.39,12.31,12.35,11.879488,396.07,20,True,
2026-09-02T17:05:30.121557+00:00,binance_p2p,LBP,89750.0,88495.0,89122.5,89500.0,-42.18,20,True,
2026-09-02T17:05:30.121557+00:00,binance_p2p,ETB,,,,161.438389,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T18:05:35.181844+00:00,binance_p2p,NGN,,,,1332.607355,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T18:05:35.181844+00:00,binance_p2p,EGP,51.41,51.455,51.4325,50.924246,99.81,20,True,
2026-09-02T18:05:35.181844+00:00,binance_p2p,PKR,285.72,285.505,285.6125,277.866264,278.78,20,True,
2026-09-02T18:05:35.181844+00:00,binance_p2p,BDT,127.5,127.015,127.2575,122.692712,372.05,20,True,
2026-09-02T18:05:35.181844+00:00,binance_p2p,VND,25819.5,25761.0,25790.25,26007.437228,-83.51,20,True,
2026-09-02T18:05:35.181844+00:00,binance_p2p,KES,129.825,129.415,129.62,129.481429,10.7,20,True,
2026-09-02T18:05:35.181844+00:00,binance_p2p,GHS,,,,11.266187,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T18:05:35.181844+00:00,binance_p2p,BOB,12.425,12.37,12.3975,11.879488,436.06,20,True,
2026-09-02T18:05:35.181844+00:00,binance_p2p,LBP,89749.995,88500.0,89124.9975,89500.0,-41.9,20,True,
2026-09-02T18:05:35.181844+00:00,binance_p2p,ETB,,,,161.438389,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T19:05:33.989824+00:00,binance_p2p,NGN,,,,1332.607355,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T19:05:33.989824+00:00,binance_p2p,EGP,51.4,51.38,51.39,50.924246,91.46,20,True,
2026-09-02T19:05:33.989824+00:00,binance_p2p,PKR,285.7,285.12,285.41,277.866264,271.49,20,True,
2026-09-02T19:05:33.989824+00:00,binance_p2p,BDT,127.545,127.005,127.275,122.692712,373.48,20,True,
2026-09-02T19:05:33.989824+00:00,binance_p2p,VND,25794.5,25742.5,25768.5,26007.437228,-91.87,20,True,
2026-09-02T19:05:33.989824+00:00,binance_p2p,KES,129.905,129.4,129.6525,129.481429,13.21,20,True,
2026-09-02T19:05:33.989824+00:00,binance_p2p,GHS,,,,11.266187,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T19:05:33.989824+00:00,binance_p2p,BOB,12.425,12.37,12.3975,11.879488,436.06,20,True,
2026-09-02T19:05:33.989824+00:00,binance_p2p,LBP,89750.0,88500.0,89125.0,89500.0,-41.9,20,True,
2026-09-02T19:05:33.989824+00:00,binance_p2p,ETB,,,,161.438389,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T20:05:33.227396+00:00,binance_p2p,NGN,,,,1332.607355,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T20:05:33.227396+00:00,binance_p2p,EGP,51.4,51.46,51.43,50.924246,99.31,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,PKR,285.725,285.005,285.365,277.866264,269.87,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,BDT,127.55,126.705,127.1275,122.692712,361.45,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,VND,25809.0,25738.0,25773.5,26007.437228,-89.95,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,KES,129.785,129.285,129.535,129.481429,4.14,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,GHS,,,,11.266187,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T20:05:33.227396+00:00,binance_p2p,BOB,12.45,12.4,12.425,11.879488,459.2,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,LBP,89750.0,88500.0,89125.0,89500.0,-41.9,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,ETB,,,,161.438389,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T21:05:31.297629+00:00,binance_p2p,NGN,,,,1332.607355,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T21:05:31.297629+00:00,binance_p2p,EGP,51.375,51.48,51.4275,50.924246,98.82,20,True,
2026-09-02T21:05:31.297629+00:00,binance_p2p,PKR,285.79,285.37,285.58,277.866264,277.61,20,True,
2026-09-02T21:05:31.297629+00:00,binance_p2p,BDT,127.7,126.875,127.2875,122.692712,374.5,20,True,
2026-09-02T21:05:31.297629+00:00,binance_p2p,VND,25826.5,25739.0,25782.75,26007.437228,-86.39,20,True,
2026-09-02T21:05:31.297629+00:00,binance_p2p,KES,129.545,129.125,129.335,129.481429,-11.31,20,True,
2026-09-02T21:05:31.297629+00:00,binance_p2p,GHS,,,,11.266187,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T21:05:31.297629+00:00,binance_p2p,BOB,12.535,12.455,12.495,11.879488,518.13,20,True,
2026-09-02T21:05:31.297629+00:00,binance_p2p,LBP,89917.99,87500.5,88709.245,89500.0,-88.35,20,True,
2026-09-02T21:05:31.297629+00:00,binance_p2p,ETB,,,,161.438389,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T22:05:27.642161+00:00,binance_p2p,NGN,,,,1332.607355,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T22:05:27.642161+00:00,binance_p2p,EGP,51.405,51.5,51.4525,50.924246,103.73,20,True,
2026-09-02T22:05:27.642161+00:00,binance_p2p,PKR,285.965,285.305,285.635,277.866264,279.59,20,True,
2026-09-02T22:05:27.642161+00:00,binance_p2p,BDT,127.8,126.425,127.1125,122.692712,360.23,20,True,
2026-09-02T22:05:27.642161+00:00,binance_p2p,VND,25822.5,25740.5,25781.5,26007.437228,-86.87,20,True,
2026-09-02T22:05:27.642161+00:00,binance_p2p,KES,129.66,129.0,129.33,129.481429,-11.7,20,True,
2026-09-02T22:05:27.642161+00:00,binance_p2p,GHS,,,,11.266187,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T22:05:27.642161+00:00,binance_p2p,BOB,12.5,12.455,12.4775,11.879488,503.4,20,True,
2026-09-02T22:05:27.642161+00:00,binance_p2p,LBP,90850.0,87500.5,89175.25,89500.0,-36.28,20,True,
2026-09-02T22:05:27.642161+00:00,binance_p2p,ETB,,,,161.438389,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T23:05:31.656695+00:00,binance_p2p,NGN,,,,1332.607355,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T23:05:31.656695+00:00,binance_p2p,EGP,51.4,51.4,51.4,50.924246,93.42,20,True,
2026-09-02T23:05:31.656695+00:00,binance_p2p,PKR,286.0,285.265,285.6325,277.866264,279.5,20,True,
2026-09-02T23:05:31.656695+00:00,binance_p2p,BDT,127.695,126.43,127.0625,122.692712,356.16,20,True,
2026-09-02T23:05:31.656695+00:00,binance_p2p,VND,25800.5,25741.5,25771.0,26007.437228,-90.91,20,True,
2026-09-02T23:05:31.656695+00:00,binance_p2p,KES,129.805,128.91,129.3575,129.481429,-9.57,20,True,
2026-09-02T23:05:31.656695+00:00,binance_p2p,GHS,,,,11.266187,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T23:05:31.656695+00:00,binance_p2p,BOB,12.44,12.37,12.405,11.879488,442.37,20,True,
2026-09-02T23:05:31.656695+00:00,binance_p2p,LBP,93500.0,85750.0,89625.0,89500.0,13.97,20,True,
2026-09-02T23:05:31.656695+00:00,binance_p2p,ETB,,,,161.438389,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T00:05:40.753248+00:00,binance_p2p,NGN,,,,1332.607355,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T00:05:40.753248+00:00,binance_p2p,EGP,51.445,51.365,51.405,50.924246,94.41,20,True,
2026-09-03T00:05:40.753248+00:00,binance_p2p,PKR,286.06,285.025,285.5425,277.866264,276.26,20,True,
2026-09-03T00:05:40.753248+00:00,binance_p2p,BDT,127.61,126.475,127.0425,122.692712,354.53,20,True,
2026-09-03T00:05:40.753248+00:00,binance_p2p,VND,25789.0,25747.0,25768.0,26007.437228,-92.06,20,True,
2026-09-03T00:05:40.753248+00:00,binance_p2p,KES,129.795,128.885,129.34,129.481429,-10.92,20,True,
2026-09-03T00:05:40.753248+00:00,binance_p2p,GHS,,,,11.266187,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T00:05:40.753248+00:00,binance_p2p,BOB,12.445,12.335,12.39,11.879488,429.74,20,True,
2026-09-03T00:05:40.753248+00:00,binance_p2p,LBP,92100.0,86250.5,89175.25,89500.0,-36.28,20,True,
2026-09-03T00:05:40.753248+00:00,binance_p2p,ETB,,,,161.438389,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T01:05:38.270831+00:00,binance_p2p,NGN,,,,1329.17076,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T01:05:38.270831+00:00,binance_p2p,EGP,51.445,51.405,51.425,51.090409,65.49,20,True,
2026-09-03T01:05:38.270831+00:00,binance_p2p,PKR,285.91,285.01,285.46,277.428817,289.49,20,True,
2026-09-03T01:05:38.270831+00:00,binance_p2p,BDT,127.5,126.505,127.0025,122.634127,356.21,20,True,
2026-09-03T01:05:38.270831+00:00,binance_p2p,VND,25797.0,25763.5,25780.25,26015.668933,-90.49,20,True,
2026-09-03T01:05:38.270831+00:00,binance_p2p,KES,129.75,128.89,129.32,129.465319,-11.22,20,True,
2026-09-03T01:05:38.270831+00:00,binance_p2p,GHS,,,,11.308861,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T01:05:38.270831+00:00,binance_p2p,BOB,12.39,12.325,12.3575,12.060031,246.66,20,True,
2026-09-03T01:05:38.270831+00:00,binance_p2p,LBP,92100.0,86250.5,89175.25,89500.0,-36.28,20,True,
2026-09-03T01:05:38.270831+00:00,binance_p2p,ETB,,,,162.287858,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
